source_file,freesound_id,freesound_url,freesound_name,uploader,recordist,source_licence,source_licence_url,pack,good_sounds_id,waveform_match_r,runner_up_r,checked
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_27.flac,360047,https://freesound.org/people/MTG/sounds/360047/,Sax Baritone - F3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5334,0.9964,0.2545,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_28.flac,360048,https://freesound.org/people/MTG/sounds/360048/,Sax Baritone - F#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5335,1.0,0.215,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_29.flac,360049,https://freesound.org/people/MTG/sounds/360049/,Sax Baritone - G3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5336,0.9974,0.2679,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_30.flac,360050,https://freesound.org/people/MTG/sounds/360050/,Sax Baritone - G#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5337,0.9868,0.1029,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_31.flac,360051,https://freesound.org/people/MTG/sounds/360051/,Sax Baritone - A3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5338,0.994,0.0711,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_32.flac,360052,https://freesound.org/people/MTG/sounds/360052/,Sax Baritone - C2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5339,0.9975,0.1141,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_33.flac,360053,https://freesound.org/people/MTG/sounds/360053/,Sax Baritone - C#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5340,1.0,0.2535,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_34.flac,360054,https://freesound.org/people/MTG/sounds/360054/,Sax Baritone - D2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5341,0.9933,0.3594,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/sop_f_01.flac,359663,https://freesound.org/people/MTG/sounds/359663/,Sax Soprano - G#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20251/,5572,0.9976,0.7208,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/sop_f_02.flac,359664,https://freesound.org/people/MTG/sounds/359664/,Sax Soprano - A3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20251/,5573,0.9981,0.6287,2026-09-24
